2026-04-04 17:27:13,349 INFO Loading SWE-bench Lite instance IDs...
2026-04-04 17:27:15,332 INFO Loaded 300 Lite instance IDs
2026-04-04 17:27:15,333 INFO Loading BM25 13K dataset (streaming)...
2026-04-04 17:27:17,871 INFO Filtering BM25 instances to SWE-bench Lite...
2026-04-04 17:27:20,818 INFO Found 300 matching instances in BM25 dataset
Running inference:  31%|███       | 93/300 [22:30<17:51,  5.18s/it]2026-04-04 17:49:57,039 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:49:57,039 INFO [94/300] django__django-15498 - patch_len=1217, elapsed=5.6s
Running inference:  31%|███▏      | 94/300 [22:36<18:13,  5.31s/it]2026-04-04 17:50:05,155 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:50:05,155 INFO [95/300] django__django-15695 - patch_len=1784, elapsed=8.1s
Running inference:  32%|███▏      | 95/300 [22:44<21:00,  6.15s/it]2026-04-04 17:50:19,360 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:50:19,360 INFO [96/300] django__django-15738 - patch_len=3985, elapsed=14.2s
Running inference:  32%|███▏      | 96/300 [22:58<29:07,  8.57s/it]2026-04-04 17:50:35,967 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:50:35,968 INFO [97/300] django__django-15781 - patch_len=4149, elapsed=16.6s
Running inference:  32%|███▏      | 97/300 [23:15<37:08, 10.98s/it]2026-04-04 17:50:41,337 INFO Retrying request to /chat/completions in 0.439050 seconds
2026-04-04 17:50:48,152 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:50:48,153 INFO [98/300] django__django-15789 - patch_len=905, elapsed=12.2s
Running inference:  33%|███▎      | 98/300 [23:27<38:10, 11.34s/it]2026-04-04 17:50:52,697 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:50:52,697 INFO [99/300] django__django-15790 - patch_len=949, elapsed=4.5s
Running inference:  33%|███▎      | 99/300 [23:31<31:09,  9.30s/it]2026-04-04 17:50:55,898 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:50:55,899 INFO [100/300] django__django-15814 - patch_len=690, elapsed=3.2s
Running inference:  33%|███▎      | 100/300 [23:35<24:54,  7.47s/it]2026-04-04 17:50:59,841 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:50:59,842 INFO [101/300] django__django-15819 - patch_len=803, elapsed=3.9s
Running inference:  34%|███▎      | 101/300 [23:39<21:16,  6.41s/it]2026-04-04 17:51:06,530 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:51:06,530 INFO [102/300] django__django-15851 - patch_len=1683, elapsed=6.7s
Running inference:  34%|███▍      | 102/300 [23:45<21:26,  6.50s/it]2026-04-04 17:51:12,259 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:51:12,260 INFO [103/300] django__django-15902 - patch_len=1245, elapsed=5.7s
Running inference:  34%|███▍      | 103/300 [23:51<20:34,  6.27s/it]2026-04-04 17:51:16,297 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:51:16,298 INFO [104/300] django__django-15996 - patch_len=845, elapsed=4.0s
Running inference:  35%|███▍      | 104/300 [23:55<18:17,  5.60s/it]2026-04-04 17:51:20,258 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:51:20,258 INFO [105/300] django__django-16041 - patch_len=754, elapsed=4.0s
Running inference:  35%|███▌      | 105/300 [23:59<16:35,  5.11s/it]2026-04-04 17:51:28,671 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:51:28,672 INFO [106/300] django__django-16046 - patch_len=1742, elapsed=8.4s
Running inference:  35%|███▌      | 106/300 [24:07<19:43,  6.10s/it]2026-04-04 17:51:32,893 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:51:32,894 INFO [107/300] django__django-16139 - patch_len=921, elapsed=4.2s
Running inference:  36%|███▌      | 107/300 [24:12<17:48,  5.54s/it]2026-04-04 17:51:50,037 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:51:50,037 INFO [108/300] django__django-16229 - patch_len=4376, elapsed=17.1s
Running inference:  36%|███▌      | 108/300 [24:29<28:51,  9.02s/it]2026-04-04 17:51:53,371 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:51:53,371 INFO [109/300] django__django-16255 - patch_len=599, elapsed=3.3s
Running inference:  36%|███▋      | 109/300 [24:32<23:16,  7.31s/it]2026-04-04 17:51:56,391 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:51:56,391 INFO [110/300] django__django-16379 - patch_len=497, elapsed=3.0s
Running inference:  37%|███▋      | 110/300 [24:35<19:04,  6.02s/it]2026-04-04 17:52:07,881 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:52:07,882 INFO [111/300] django__django-16400 - patch_len=956, elapsed=11.5s
Running inference:  37%|███▋      | 111/300 [24:47<24:08,  7.66s/it]2026-04-04 17:53:11,903 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:53:11,904 INFO [112/300] django__django-16408 - patch_len=18083, elapsed=64.0s
Running inference:  37%|███▋      | 112/300 [25:51<1:16:59, 24.57s/it]2026-04-04 17:53:19,188 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:53:19,189 INFO [113/300] django__django-16527 - patch_len=1614, elapsed=7.3s
Running inference:  38%|███▊      | 113/300 [25:58<1:00:25, 19.39s/it]2026-04-04 17:53:22,262 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:53:22,263 INFO [114/300] django__django-16595 - patch_len=501, elapsed=3.1s
Running inference:  38%|███▊      | 114/300 [26:01<44:55, 14.49s/it]  2026-04-04 17:53:37,009 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:53:37,009 INFO [115/300] django__django-16816 - patch_len=1301, elapsed=14.7s
Running inference:  38%|███▊      | 115/300 [26:16<44:55, 14.57s/it]2026-04-04 17:53:40,214 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:53:40,215 INFO [116/300] django__django-16820 - patch_len=498, elapsed=3.2s
Running inference:  39%|███▊      | 116/300 [26:19<34:13, 11.16s/it]2026-04-04 17:53:43,169 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:53:43,169 INFO [117/300] django__django-16873 - patch_len=595, elapsed=3.0s
Running inference:  39%|███▉      | 117/300 [26:22<26:31,  8.70s/it]2026-04-04 17:53:47,839 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:53:47,840 INFO [118/300] django__django-16910 - patch_len=1024, elapsed=4.7s
Running inference:  39%|███▉      | 118/300 [26:27<22:43,  7.49s/it]2026-04-04 17:53:53,359 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:53:53,360 INFO [119/300] django__django-17051 - patch_len=1163, elapsed=5.5s
Running inference:  40%|███▉      | 119/300 [26:32<20:48,  6.90s/it]2026-04-04 17:53:58,344 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:53:58,344 INFO [120/300] django__django-17087 - patch_len=1130, elapsed=5.0s
Running inference:  40%|████      | 120/300 [26:37<18:58,  6.32s/it]2026-04-04 17:54:35,066 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:54:35,068 INFO [121/300] matplotlib__matplotlib-18869 - patch_len=8818, elapsed=36.7s
Running inference:  40%|████      | 121/300 [27:14<46:04, 15.44s/it]2026-04-04 17:55:02,295 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:55:02,296 INFO [122/300] matplotlib__matplotlib-22711 - patch_len=1248, elapsed=27.2s
Running inference:  41%|████      | 122/300 [27:41<56:18, 18.98s/it]2026-04-04 17:55:04,924 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:55:04,925 INFO [123/300] matplotlib__matplotlib-22835 - patch_len=468, elapsed=2.6s
Running inference:  41%|████      | 123/300 [27:44<41:31, 14.07s/it]2026-04-04 17:55:07,522 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:55:07,523 INFO [124/300] matplotlib__matplotlib-23299 - patch_len=524, elapsed=2.6s
Running inference:  41%|████▏     | 124/300 [27:46<31:11, 10.63s/it]2026-04-04 17:55:14,787 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:55:14,788 INFO [125/300] matplotlib__matplotlib-23314 - patch_len=1221, elapsed=7.3s
Running inference:  42%|████▏     | 125/300 [27:53<28:03,  9.62s/it]2026-04-04 17:55:18,211 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:55:18,211 INFO [126/300] matplotlib__matplotlib-23476 - patch_len=681, elapsed=3.4s
Running inference:  42%|████▏     | 126/300 [27:57<22:30,  7.76s/it]2026-04-04 17:55:23,207 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:55:23,208 INFO [127/300] matplotlib__matplotlib-23562 - patch_len=710, elapsed=5.0s
Running inference:  42%|████▏     | 127/300 [28:02<19:59,  6.93s/it]2026-04-04 17:55:28,586 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:55:28,587 INFO [128/300] matplotlib__matplotlib-23563 - patch_len=895, elapsed=5.4s
Running inference:  43%|████▎     | 128/300 [28:07<18:32,  6.47s/it]2026-04-04 17:55:36,452 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:55:36,453 INFO [129/300] matplotlib__matplotlib-23913 - patch_len=1198, elapsed=7.9s
Running inference:  43%|████▎     | 129/300 [28:15<19:37,  6.89s/it]2026-04-04 17:55:44,126 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:55:44,126 INFO [130/300] matplotlib__matplotlib-23964 - patch_len=1946, elapsed=7.7s
Running inference:  43%|████▎     | 130/300 [28:23<20:10,  7.12s/it]2026-04-04 17:56:51,473 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:56:51,474 INFO [131/300] matplotlib__matplotlib-23987 - patch_len=17085, elapsed=67.3s
Running inference:  44%|████▎     | 131/300 [29:30<1:10:57, 25.19s/it]2026-04-04 17:56:56,634 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:56:56,635 INFO [132/300] matplotlib__matplotlib-24149 - patch_len=1073, elapsed=5.2s
Running inference:  44%|████▍     | 132/300 [29:35<53:42, 19.18s/it]  2026-04-04 17:57:00,625 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:57:00,625 INFO [133/300] matplotlib__matplotlib-24265 - patch_len=676, elapsed=4.0s
Running inference:  44%|████▍     | 133/300 [29:39<40:42, 14.62s/it]2026-04-04 17:57:04,459 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:57:04,459 INFO [134/300] matplotlib__matplotlib-24334 - patch_len=1001, elapsed=3.8s
Running inference:  45%|████▍     | 134/300 [29:43<31:30, 11.39s/it]2026-04-04 17:57:38,741 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:57:38,742 INFO [135/300] matplotlib__matplotlib-24970 - patch_len=7548, elapsed=34.3s
Running inference:  45%|████▌     | 135/300 [30:17<50:12, 18.26s/it]2026-04-04 17:58:20,337 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:58:20,338 INFO [136/300] matplotlib__matplotlib-25079 - patch_len=10101, elapsed=41.6s
Running inference:  45%|████▌     | 136/300 [30:59<1:09:02, 25.26s/it]2026-04-04 17:58:25,336 INFO Retrying request to /chat/completions in 0.468471 seconds
2026-04-04 17:58:28,110 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:58:28,111 INFO [137/300] matplotlib__matplotlib-25311 - patch_len=330, elapsed=7.8s
Running inference:  46%|████▌     | 137/300 [31:07<54:22, 20.01s/it]  2026-04-04 17:58:36,396 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:58:36,396 INFO [138/300] matplotlib__matplotlib-25332 - patch_len=1337, elapsed=8.3s
Running inference:  46%|████▌     | 138/300 [31:15<44:32, 16.49s/it]2026-04-04 17:58:41,440 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:58:41,441 INFO [139/300] matplotlib__matplotlib-25433 - patch_len=911, elapsed=5.0s
Running inference:  46%|████▋     | 139/300 [31:20<35:02, 13.06s/it]2026-04-04 17:58:57,419 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:58:57,419 INFO [140/300] matplotlib__matplotlib-25442 - patch_len=3906, elapsed=16.0s
Running inference:  47%|████▋     | 140/300 [31:36<37:09, 13.94s/it]2026-04-04 17:59:25,707 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 17:59:25,708 INFO [141/300] matplotlib__matplotlib-25498 - patch_len=3795, elapsed=28.3s
Running inference:  47%|████▋     | 141/300 [32:04<48:20, 18.24s/it]2026-04-04 18:00:24,449 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:00:29,451 INFO [142/300] matplotlib__matplotlib-26011 - patch_len=13465, elapsed=63.7s
Running inference:  47%|████▋     | 142/300 [33:08<1:23:58, 31.89s/it]2026-04-04 18:00:33,332 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:00:33,332 INFO [143/300] matplotlib__matplotlib-26020 - patch_len=705, elapsed=3.9s
Running inference:  48%|████▊     | 143/300 [33:12<1:01:27, 23.49s/it]2026-04-04 18:01:40,097 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:01:40,098 INFO [144/300] mwaskom__seaborn-2848 - patch_len=12657, elapsed=66.8s
Running inference:  48%|████▊     | 144/300 [34:19<1:34:49, 36.47s/it]2026-04-04 18:01:49,258 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:01:49,258 INFO [145/300] mwaskom__seaborn-3010 - patch_len=1785, elapsed=9.2s
Running inference:  48%|████▊     | 145/300 [34:28<1:13:03, 28.28s/it]2026-04-04 18:01:52,312 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:01:52,312 INFO [146/300] mwaskom__seaborn-3190 - patch_len=403, elapsed=3.1s
Running inference:  49%|████▊     | 146/300 [34:31<53:09, 20.71s/it]  2026-04-04 18:01:55,995 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:01:55,995 INFO [147/300] mwaskom__seaborn-3407 - patch_len=632, elapsed=3.7s
Running inference:  49%|████▉     | 147/300 [34:35<39:47, 15.60s/it]2026-04-04 18:01:59,489 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:01:59,489 INFO [148/300] pallets__flask-4045 - patch_len=602, elapsed=3.5s
Running inference:  49%|████▉     | 148/300 [34:38<30:19, 11.97s/it]2026-04-04 18:02:02,863 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:02:02,864 INFO [149/300] pallets__flask-4992 - patch_len=554, elapsed=3.4s
Running inference:  50%|████▉     | 149/300 [34:42<23:38,  9.39s/it]2026-04-04 18:02:10,181 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:02:10,181 INFO [150/300] pallets__flask-5063 - patch_len=1395, elapsed=7.3s
Running inference:  50%|█████     | 150/300 [34:49<21:55,  8.77s/it]2026-04-04 18:02:21,439 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:02:21,440 INFO [151/300] psf__requests-1963 - patch_len=2476, elapsed=11.3s
Running inference:  50%|█████     | 151/300 [35:00<23:37,  9.52s/it]2026-04-04 18:02:28,455 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:02:28,455 INFO [152/300] psf__requests-2148 - patch_len=1438, elapsed=7.0s
Running inference:  51%|█████     | 152/300 [35:07<21:37,  8.77s/it]2026-04-04 18:02:34,494 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:02:34,494 INFO [153/300] psf__requests-2317 - patch_len=1006, elapsed=6.0s
Running inference:  51%|█████     | 153/300 [35:13<19:28,  7.95s/it]2026-04-04 18:02:55,270 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:02:55,271 INFO [154/300] psf__requests-2674 - patch_len=3372, elapsed=20.8s
Running inference:  51%|█████▏    | 154/300 [35:34<28:42, 11.80s/it]2026-04-04 18:03:03,682 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:03:03,682 INFO [155/300] psf__requests-3362 - patch_len=2223, elapsed=8.4s
Running inference:  52%|█████▏    | 155/300 [35:42<26:03, 10.78s/it]2026-04-04 18:03:07,010 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:03:07,011 INFO [156/300] psf__requests-863 - patch_len=532, elapsed=3.3s
Running inference:  52%|█████▏    | 156/300 [35:46<20:30,  8.55s/it]2026-04-04 18:03:11,951 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:03:11,951 INFO [157/300] pydata__xarray-3364 - patch_len=976, elapsed=4.9s
Running inference:  52%|█████▏    | 157/300 [35:51<17:47,  7.46s/it]2026-04-04 18:03:17,512 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:03:17,513 INFO [158/300] pydata__xarray-4094 - patch_len=1105, elapsed=5.6s
Running inference:  53%|█████▎    | 158/300 [35:56<16:18,  6.89s/it]2026-04-04 18:03:51,663 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:03:51,663 INFO [159/300] pydata__xarray-4248 - patch_len=7827, elapsed=34.1s
Running inference:  53%|█████▎    | 159/300 [36:30<35:24, 15.07s/it]2026-04-04 18:04:05,133 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:04:05,134 INFO [160/300] pydata__xarray-4493 - patch_len=1713, elapsed=13.5s
Running inference:  53%|█████▎    | 160/300 [36:44<34:02, 14.59s/it]2026-04-04 18:04:10,010 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:04:10,011 INFO [161/300] pydata__xarray-5131 - patch_len=1048, elapsed=4.9s
Running inference:  54%|█████▎    | 161/300 [36:49<27:03, 11.68s/it]2026-04-04 18:04:19,032 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:04:19,034 INFO [162/300] pylint-dev__pylint-5859 - patch_len=2190, elapsed=9.0s
Running inference:  54%|█████▍    | 162/300 [36:58<25:01, 10.88s/it]2026-04-04 18:04:21,592 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:04:21,592 INFO [163/300] pylint-dev__pylint-6506 - patch_len=298, elapsed=2.6s
Running inference:  54%|█████▍    | 163/300 [37:00<19:08,  8.38s/it]2026-04-04 18:04:28,804 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:04:28,804 INFO [164/300] pylint-dev__pylint-7080 - patch_len=1123, elapsed=7.2s
Running inference:  55%|█████▍    | 164/300 [37:07<18:12,  8.03s/it]2026-04-04 18:04:36,060 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:04:36,060 INFO [165/300] pylint-dev__pylint-7114 - patch_len=1416, elapsed=7.3s
Running inference:  55%|█████▌    | 165/300 [37:15<17:32,  7.80s/it]2026-04-04 18:04:41,267 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:04:41,269 INFO [166/300] pylint-dev__pylint-7228 - patch_len=1149, elapsed=5.2s
Running inference:  55%|█████▌    | 166/300 [37:20<15:40,  7.02s/it]2026-04-04 18:05:02,064 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:05:02,065 INFO [167/300] pylint-dev__pylint-7993 - patch_len=4699, elapsed=20.8s
Running inference:  56%|█████▌    | 167/300 [37:41<24:43, 11.15s/it]2026-04-04 18:05:05,715 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:05:05,715 INFO [168/300] pytest-dev__pytest-11143 - patch_len=683, elapsed=3.7s
Running inference:  56%|█████▌    | 168/300 [37:44<19:35,  8.90s/it]2026-04-04 18:05:18,523 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:05:18,523 INFO [169/300] pytest-dev__pytest-11148 - patch_len=1473, elapsed=12.8s
Running inference:  56%|█████▋    | 169/300 [37:57<21:59, 10.07s/it]2026-04-04 18:07:07,844 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:07:07,845 INFO [170/300] pytest-dev__pytest-5103 - patch_len=14393, elapsed=109.3s
Running inference:  57%|█████▋    | 170/300 [39:47<1:26:20, 39.85s/it]2026-04-04 18:07:17,279 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:07:17,280 INFO [171/300] pytest-dev__pytest-5221 - patch_len=1038, elapsed=9.4s
Running inference:  57%|█████▋    | 171/300 [39:56<1:06:03, 30.72s/it]2026-04-04 18:07:19,935 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:07:19,936 INFO [172/300] pytest-dev__pytest-5227 - patch_len=403, elapsed=2.7s
Running inference:  57%|█████▋    | 172/300 [39:59<47:34, 22.30s/it]  2026-04-04 18:07:29,519 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:07:29,519 INFO [173/300] pytest-dev__pytest-5413 - patch_len=2301, elapsed=9.6s
Running inference:  58%|█████▊    | 173/300 [40:08<39:07, 18.49s/it]2026-04-04 18:08:38,171 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:08:38,172 INFO [174/300] pytest-dev__pytest-5495 - patch_len=15888, elapsed=68.7s
Running inference:  58%|█████▊    | 174/300 [41:17<1:10:25, 33.54s/it]2026-04-04 18:08:44,279 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:08:44,279 INFO [175/300] pytest-dev__pytest-5692 - patch_len=1482, elapsed=6.1s
Running inference:  58%|█████▊    | 175/300 [41:23<52:43, 25.31s/it]  2026-04-04 18:08:51,593 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:08:51,593 INFO [176/300] pytest-dev__pytest-6116 - patch_len=1268, elapsed=7.3s
Running inference:  59%|█████▊    | 176/300 [41:30<41:08, 19.91s/it]2026-04-04 18:08:55,540 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:08:55,540 INFO [177/300] pytest-dev__pytest-7168 - patch_len=713, elapsed=3.9s
Running inference:  59%|█████▉    | 177/300 [41:34<30:59, 15.12s/it]2026-04-04 18:09:00,612 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:09:00,612 INFO [178/300] pytest-dev__pytest-7220 - patch_len=1122, elapsed=5.1s
Running inference:  59%|█████▉    | 178/300 [41:39<24:36, 12.11s/it]2026-04-04 18:09:04,779 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:09:04,780 INFO [179/300] pytest-dev__pytest-7373 - patch_len=675, elapsed=4.2s
Running inference:  60%|█████▉    | 179/300 [41:43<19:36,  9.72s/it]2026-04-04 18:09:16,313 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:09:16,313 INFO [180/300] pytest-dev__pytest-7432 - patch_len=2479, elapsed=11.5s
Running inference:  60%|██████    | 180/300 [41:55<20:32, 10.27s/it]2026-04-04 18:09:21,672 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:09:21,673 INFO [181/300] pytest-dev__pytest-7490 - patch_len=1089, elapsed=5.4s
Running inference:  60%|██████    | 181/300 [42:00<17:26,  8.79s/it]2026-04-04 18:09:24,141 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:09:24,142 INFO [182/300] pytest-dev__pytest-8365 - patch_len=323, elapsed=2.5s
Running inference:  61%|██████    | 182/300 [42:03<13:33,  6.90s/it]2026-04-04 18:09:38,756 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:09:38,757 INFO [183/300] pytest-dev__pytest-8906 - patch_len=3931, elapsed=14.6s
Running inference:  61%|██████    | 183/300 [42:17<17:57,  9.21s/it]2026-04-04 18:09:46,737 INFO HTTP Request: POST http://gpu02:8083/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 18:09:46,738 INFO [184/300] pytest-dev__pytest-9359 - patch_len=1273, elapsed=8.0s
